4828,4344.96047,-4287.207585
22889,-6866.590041,4672.543431
58,17.447298,-9.234825
22,19.529914,-12.977943
28,22.152009,-25.579145
89,26.718704,-19.274689
68,20.504636,-13.030199
72,21.603885,-12.736701
69,20.663638,-11.42708
80,24.030111,-12.492428
68,20.451555,-10.025536
0,0.0,0.0
70,20.95814,-9.978056
87,25.985014,-12.363688
60,17.923747,-8.592175
72,21.689078,-10.569916
78,23.377511,-11.796121
28,25.383846,-13.810649
26,23.325547,-19.121044
56,-16.796916,2.705127
64,-19.291895,7.238489
72,-21.559504,9.608289
88,-26.542854,13.19285
61,-18.314115,9.770915
91,-27.198901,15.340237
75,-22.479084,13.332854
81,-24.256709,14.979744
87,-26.02912,16.698766
61,-18.334631,12.122941
97,-28.970306,19.722685
68,-20.289698,14.204315
106,-31.893862,22.94151
74,-22.232454,16.413733
38,-11.406396,8.550114
106,-31.895853,24.132276
62,-18.474924,14.063653
79,-23.798985,18.182661
83,-24.979131,19.093747
60,-18.010042,13.64532
19,-17.102941,12.338356
18,15.48962,-15.945219
74,22.172992,-17.909622
71,21.254667,-15.215156
48,14.257033,-8.524103
40,12.085401,-5.099522
24,7.272065,-0.749565
17,5.048604,4.291694
28,0.023566,8.395392
32,-2.74847,9.603504
59,-7.874409,17.708615
58,-9.420879,17.290831
96,-17.775592,28.877723
88,-17.604166,26.345595
102,-21.577624,30.633194
37,-8.124118,11.205338
110,-23.829112,32.891574
100,-21.380586,29.959259
90,-19.04291,27.09461
106,-21.934256,31.793127
90,-18.195674,27.003041
106,-20.747691,31.927046
28,-15.048681,25.014904
11,2.159948,9.806866
123,35.164681,-37.026933
113,30.542514,-34.011786
119,31.997087,-35.72888
134,36.222528,-40.096571
102,28.082103,-30.678995
128,35.723231,-38.394967
87,24.833477,-26.219355
120,35.137234,-36.071358
129,38.676243,-37.451451
36,32.479418,-28.116683
30,26.758619,-15.687244
34,4.216343,10.124573
84,-10.982355,25.279443
87,-15.29922,26.246863
110,-21.422687,32.895956
111,-23.149234,33.221921
104,-22.617208,31.056636
113,-25.60612,33.981593
123,-28.566816,36.77443
131,-31.503771,39.435032
55,-13.419411,16.489429
128,-32.360429,38.515659
127,-34.312904,38.069251
99,-29.592907,29.724082
40,-35.881092,30.229345
101,-30.435743,16.175564
47,-14.20835,-1.383123
